Results_Name,VSPAERO_History,,,,
FC_Rho_,0.002377,,,,
FC_Roll__Rate,0,,,,
FC_Sref_,11.114691,,,,
FC_Vinf_,100,,,,
FC_Xcg_,4.521099,,,,
FC_Yaw___Rate,0,,,,
FC_Ycg_,0,,,,
FC_Zcg_,-0.223591,,,,
L/D,7.0252,7.17652,7.22629,7.25059,7.25586
Mach,0.001,0.001,0.001,0.001,0.001
T/QS,0.01088,0.01132,0.01144,0.01159,0.01157
WakeIter,1,2,3,4,5
Results_Name,VSPAERO_History,,,,
Results_Timestamp,1639008966,,,,
Results_Date,12,8,2021,,
Results_Time,18,16,6,,
Alpha,5.64103,5.64103,5.64103,5.64103,5.64103
AnalysisMethod,0,,,,
Beta,0,0,0,0,0
CDi,0.01266,0.01305,0.01299,0.01322,0.0133
CDo,0.04608,0.04614,0.04614,0.04615,0.04615
CDtot,0.05874,0.05919,0.05913,0.05937,0.05945
CDtrefftz,0,0,0,0,0
CFx,-0.03023,-0.0311,-0.03119,-0.03134,-0.0314
CFy,0.00046,0.00003,0.00002,0.00003,0.00001
CFz,0.43478,0.44759,0.44791,0.45187,0.45317
CL,0.43565,0.44848,0.4488,0.45276,0.45406
CMx,0.00467,0.00066,0.00027,0.00013,0.00005
CMy,0.25969,0.26632,0.27267,0.26545,0.26327
CMz,-0.0005,0.00016,0.00001,0.00002,0.00001
CS,0.00046,0.00003,0.00002,0.00003,0.00001
E,0.94302,0.96953,0.97548,0.97499,0.97526
FC_AoA_,5.641026,,,,
FC_Beta_,0,,,,
FC_Bref_,7.5,,,,
FC_Cref_,1.481959,,,,
FC_Mach_,0.001,,,,
FC_Pitch_Rate,0,,,,
FC_ReCref_,50000,,,,
FC_Rho_,0.002377,,,,
FC_Roll__Rate,0,,,,
FC_Sref_,11.114691,,,,
FC_Vinf_,100,,,,
FC_Xcg_,4.521099,,,,
FC_Yaw___Rate,0,,,,
FC_Ycg_,0,,,,
FC_Zcg_,-0.223591,,,,
L/D,7.41639,7.57705,7.5903,7.62552,7.63789
Mach,0.001,0.001,0.001,0.001,0.001
T/QS,0.01234,0.01276,0.01294,0.01317,0.0132
WakeIter,1,2,3,4,5
Results_Name,VSPAERO_History,,,,
Results_Timestamp,1639008966,,,,
Results_Date,12,8,2021,,
Results_Time,18,16,6,,
Alpha,6.15385,6.15385,6.15385,6.15385,6.15385
AnalysisMethod,0,,,,
Beta,0,0,0,0,0
CDi,0.01531,0.01596,0.01582,0.01563,0.01574
CDo,0.04625,0.04634,0.04633,0.04632,0.04632
CDtot,0.06156,0.0623,0.06215,0.06195,0.06207
CDtrefftz,0,0,0,0,0
CFx,-0.03591,-0.03717,-0.03717,-0.03717,-0.03726
CFy,0.00047,0.00006,-0.00008,-0.00003,0.00003
CFz,0.47593,0.49367,0.49238,0.4905,0.49241
CL,0.47704,0.49481,0.49353,0.49166,0.49357
CMx,0.00488,0.00022,0.00009,0.00002,0.00006
CMy,0.28358,0.28622,0.28993,0.29603,0.29192
CMz,-0.00084,0.00002,-0.00004,-0.00001,0.00002
CS,0.00047,0.00006,-0.00008,-0.00003,0.00003
E,0.9348,0.96473,0.96814,0.97305,0.97337
FC_AoA_,6.153846,,,,
FC_Beta_,0,,,,
FC_Bref_,7.5,,,,
FC_Cref_,1.481959,,,,
FC_Mach_,0.001,,,,
FC_Pitch_Rate,0,,,,
FC_ReCref_,50000,,,,
FC_Rho_,0.002377,,,,
FC_Roll__Rate,0,,,,
FC_Sref_,11.114691,,,,
FC_Vinf_,100,,,,
FC_Xcg_,4.521099,,,,
FC_Yaw___Rate,0,,,,
FC_Ycg_,0,,,,
FC_Zcg_,-0.223591,,,,
L/D,7.7487,7.9424,7.9404,7.93685,7.95234
Mach,0.001,0.001,0.001,0.001,0.001
T/QS,0.01423,0.01505,0.01496,0.01502,0.0151
WakeIter,1,2,3,4,5
Results_Name,VSPAERO_History,,,,
Results_Timestamp,1639008966,,,,
Results_Date,12,8,2021,,
Results_Time,18,16,6,,
Alpha,6.66667,6.66667,6.66667,6.66667,6.66667
AnalysisMethod,0,,,,
Beta,0,0,0,0,0
CDi,0.01865,0.01879,0.01881,0.01864,0.01842
CDo,0.04642,0.04652,0.04653,0.04652,0.04651
CDtot,0.06507,0.06531,0.06534,0.06517,0.06493
CDtrefftz,0,0,0,0,0
CFx,-0.04145,-0.04345,-0.0436,-0.04363,-0.04361
CFy,0.00064,0.00032,0.00005,-0.00001,-0.00002
CFz,0.51528,0.53354,0.53507,0.53384,0.53175
CL,0.5166,0.53498,0.53652,0.5353,0.53322
CMx,0.00575,0.00078,0.00013,0.00002,-0.00002
CMy,0.30417,0.30611,0.31105,0.31457,0.32052
CMz,0.00014,0.0001,-0.00008,0,-0.00001
CS,0.00064,0.00032,0.00005,-0.00001,-0.00002
E,0.90008,0.95817,0.96236,0.96666,0.97109
FC_AoA_,6.666667,,,,
FC_Beta_,0,,,,
FC_Bref_,7.5,,,,
FC_Cref_,1.481959,,,,
FC_Mach_,0.001,,,,
FC_Pitch_Rate,0,,,,
FC_ReCref_,50000,,,,
FC_Rho_,0.002377,,,,
FC_Roll__Rate,0,,,,
FC_Sref_,11.114691,,,,
FC_Vinf_,100,,,,
FC_Xcg_,4.521099,,,,
FC_Yaw___Rate,0,,,,
FC_Ycg_,0,,,,
FC_Zcg_,-0.223591,,,,
L/D,7.93877,8.19188,8.21098,8.21444,8.21265
Mach,0.001,0.001,0.001,0.001,0.001
T/QS,0.01637,0.0173,0.01737,0.01729,0.0173
WakeIter,1,2,3,4,5
Results_Name,VSPAERO_History,,,,
Results_Timestamp,1639008966,,,,
Results_Date,12,8,2021,,
Results_Time,18,16,6,,
Alpha,7.17949,7.17949,7.17949,7.17949,7.17949
AnalysisMethod,0,,,,
Beta,0,0,0,0,0
CDi,0.0209,0.02226,0.02204,0.0219,0.02168
CDo,0.04663,0.04674,0.04674,0.04673,0.04672
CDtot,0.06753,0.069,0.06878,0.06864,0.0684
CDtrefftz,0,0,0,0,0
CFx,-0.04917,-0.05039,-0.05059,-0.05057,-0.05059
CFy,0.00067,0,-0.00006,-0.0001,-0.00005
CFz,0.55756,0.5782,0.5779,0.57675,0.57505
CL,0.55933,0.57997,0.57969,0.57855,0.57686
CMx,0.00568,0.00045,0.00005,-0.00001,-0.00003
CMy,0.32585,0.3282,0.33204,0.3348,0.3389
CMz,-0.00043,0,-0.00001,-0.00003,-0.00003
CS,0.00067,0,-0.00006,-0.0001,-0.00005
E,0.94136,0.95029,0.95917,0.96109,0.96541
FC_AoA_,7.179487,,,,
FC_Beta_,0,,,,
FC_Bref_,7.5,,,,
FC_Cref_,1.481959,,,,
FC_Mach_,0.001,,,,
FC_Pitch_Rate,0,,,,
FC_ReCref_,50000,,,,
FC_Rho_,0.002377,,,,
FC_Roll__Rate,0,,,,
FC_Sref_,11.114691,,,,
FC_Vinf_,100,,,,
FC_Xcg_,4.521099,,,,
FC_Yaw___Rate,0,,,,
FC_Ycg_,0,,,,
FC_Zcg_,-0.223591,,,,
L/D,8.28284,8.40497,8.4286,8.42885,8.43309
Mach,0.001,0.001,0.001,0.001,0.001
T/QS,0.019,0.02012,0.02009,0.01999,0.01988
WakeIter,1,2,3,4,5
Results_Name,VSPAERO_History,,,,
Results_Timestamp,1639008966,,,,
Results_Date,12,8,2021,,
Results_Time,18,16,6,,
Alpha,7.69231,7.69231,7.69231,7.69231,7.69231
AnalysisMethod,0,,,,
Beta,0,0,0,0,0
CDi,0.02403,0.02515,0.02552,0.02532,0.02514
CDo,0.04683,0.04695,0.04696,0.04696,0.04695
CDtot,0.07085,0.0721,0.07248,0.07228,0.07209
CDtrefftz,0,0,0,0,0
CFx,-0.05639,-0.05814,-0.05801,-0.05802,-0.05803
CFy,0.001,0.00017,0.00002,-0.00004,-0.00004
