Hydrogen,,,Helium,,,Nitrogen,,,Mystery Tube K,,,Mystery Tube I,,,Mercury Control,,,Mercury Clear Glasses,,,Mercury Sunglasses,,,Incandescant Bulb,,,CFL Bulb,,,Halogen Bulb,
219.667,127.75,,219.667,98.65,,219.667,77.75,,219.667,-28.36,,219.667,36.41,,219.667,-30.15,,219.667,-42.83,,219.667,34.32,,219.667,289.82,,219.667,94.92,,219.667,174.16
219.934,-35.22,,219.934,59.25,,219.934,74.17,,219.934,-21.19,,219.934,7.76,,219.934,16.42,,219.934,14.48,,219.934,-15.82,,219.934,286.24,,219.934,-8.95,,219.934,290.57
220.201,56.11,,220.201,21.64,,220.201,79.54,,220.201,21.79,,220.201,56.11,,220.201,64.77,,220.201,37.76,,220.201,25.37,,220.201,352.5,,220.201,35.82,,220.201,301.31
220.468,-22.68,,220.468,28.8,,220.468,54.47,,220.468,9.25,,220.468,23.88,,220.468,75.51,,220.468,-46.41,,220.468,20,,220.468,271.91,,220.468,-66.26,,220.468,197.44
220.735,-17.31,,220.735,3.73,,220.735,18.65,,220.735,64.77,,220.735,45.37,,220.735,-6.86,,220.735,-3.43,,220.735,-5.07,,220.735,289.82,,220.735,-12.54,,220.735,295.94
221.002,27.46,,221.002,37.76,,221.002,72.38,,221.002,71.93,,221.002,50.74,,221.002,82.68,,221.002,1.94,,221.002,120.29,,221.002,280.87,,221.002,73.43,,221.002,240.42
221.27,31.04,,221.27,18.06,,221.27,31.19,,221.27,0.3,,221.27,68.65,,221.27,88.05,,221.27,-66.11,,221.27,55.82,,221.27,254,,221.27,46.56,,221.27,245.8
221.537,-29.85,,221.537,-8.81,,221.537,34.77,,221.537,7.46,,221.537,40,,221.537,28.95,,221.537,14.48,,221.537,-15.82,,221.537,322.06,,221.537,0,,221.537,279.82
221.804,23.88,,221.804,84.32,,221.804,97.45,,221.804,80.89,,221.804,70.44,,221.804,145.36,,221.804,82.53,,221.804,131.03,,221.804,322.06,,221.804,-25.07,,221.804,389.07
222.071,-28.06,,222.071,53.88,,222.071,40.15,,222.071,-35.52,,222.071,-29.85,,222.071,25.37,,222.071,-89.39,,222.071,18.21,,222.071,155.51,,222.071,19.7,,222.071,172.37
222.338,27.46,,222.338,96.86,,222.338,92.08,,222.338,46.86,,222.338,115.21,,222.338,62.98,,222.338,125.51,,222.338,88.05,,222.338,390.11,,222.338,37.61,,222.338,331.76
222.605,-35.22,,222.605,32.38,,222.605,56.26,,222.605,50.44,,222.605,63.28,,222.605,12.83,,222.605,37.76,,222.605,84.47,,222.605,288.03,,222.605,51.94,,222.605,329.97
222.872,63.28,,222.872,19.85,,222.872,-13.58,,222.872,-10.45,,222.872,-22.68,,222.872,28.95,,222.872,-101.93,,222.872,-8.66,,222.872,257.59,,222.872,-28.65,,222.872,240.42
223.139,-2.98,,223.139,48.5,,223.139,115.36,,223.139,9.25,,223.139,68.65,,223.139,102.38,,223.139,28.8,,223.139,32.53,,223.139,264.75,,223.139,19.7,,223.139,286.99
223.406,84.77,,223.406,3.73,,223.406,83.13,,223.406,32.53,,223.406,79.4,,223.406,34.32,,223.406,21.64,,223.406,27.16,,223.406,259.38,,223.406,132.52,,223.406,337.13
223.673,77.6,,223.673,46.71,,223.673,97.45,,223.673,23.58,,223.673,32.83,,223.673,129.24,,223.673,114.76,,223.673,86.26,,223.673,316.69,,223.673,51.94,,223.673,290.57
223.94,34.62,,223.94,111.18,,223.94,79.54,,223.94,82.68,,223.94,-31.64,,223.94,50.44,,223.94,35.97,,223.94,52.23,,223.94,296.99,,223.94,12.54,,223.94,265.5
224.207,41.79,,224.207,27.01,,224.207,63.43,,224.207,30.74,,224.207,36.41,,224.207,46.86,,224.207,66.41,,224.207,52.23,,224.207,314.89,,224.207,0,,224.207,281.61
224.474,18.51,,224.474,52.08,,224.474,41.94,,224.474,-37.31,,224.474,48.95,,224.474,34.32,,224.474,19.85,,224.474,59.4,,224.474,311.31,,224.474,50.14,,224.474,304.9
224.741,2.39,,224.741,39.55,,224.741,68.8,,224.741,48.65,,224.741,36.41,,224.741,43.28,,224.741,9.1,,224.741,88.05,,224.741,271.91,,224.741,8.95,,224.741,344.29
225.007,45.37,,225.007,-7.01,,225.007,18.65,,225.007,9.25,,225.007,2.39,,225.007,-53.43,,225.007,-33.88,,225.007,-67.75,,225.007,196.7,,225.007,12.54,,225.007,224.31
225.274,-19.1,,225.274,93.27,,225.274,49.1,,225.274,-22.98,,225.274,23.88,,225.274,68.35,,225.274,-41.04,,225.274,75.51,,225.274,284.45,,225.274,-28.65,,225.274,294.15
